side,layer_index,layer_label,pattern_index,location,sampled_from,convexhull_area,pattern_area,pattern_resistance
back,0,Layer 1 (start),9,normal,index[0],39.71789312410783,4.219772687742104,0.013188194459100532
back,0,Layer 1 (start),18,normal,index[9],39.71789312410783,4.219772687742104,0.013188194459100532
back,0,Layer 1 (start),29,normal,index[20],39.71789312410783,4.219772687742104,0.013188194459100532
front,0,Layer 1 (start),0,normal,index[0],38.02426795476146,4.203181143330305,0.014875782193163068
front,0,Layer 1 (start),9,normal,index[9],39.71789312410783,4.219772687742104,0.013188194459100532
front,0,Layer 1 (start),20,normal,index[20],39.71789312410783,4.219772687742104,0.013188194459100532
front,0,Layer 1 (start),52,normal,index[52],39.71789312410783,4.219772687742104,0.013188194459100532
front,0,Layer 1 (start),53,end,index[53],39.71789312410783,4.115988016319331,0.013905565204988703
back,1,Layer 2 (normal),0,start,index[0],38.83169276405897,4.183848422051504,0.012810742371265433
back,1,Layer 2 (normal),9,normal,index[9],38.83169276405897,4.079794643795422,0.013487061630813217
back,1,Layer 2 (normal),20,normal,index[20],38.83169276405897,4.079794643795422,0.013487061630813217
back,1,Layer 2 (normal),52,normal,index[52],38.83169276405897,4.079794643795422,0.013487061630813217
back,1,Layer 2 (normal),53,end,index[53],38.83169276405897,3.9162496019270048,0.014880505665879356
front,1,Layer 2 (normal),0,start,index[0],38.83169276405897,4.183848422051504,0.012810742371265433
front,1,Layer 2 (normal),9,normal,index[9],38.83169276405897,4.079794643795422,0.013487061630813217
front,1,Layer 2 (normal),20,normal,index[20],38.83169276405897,4.079794643795422,0.013487061630813217
front,1,Layer 2 (normal),52,normal,index[52],38.83169276405897,4.079794643795422,0.013487061630813217
front,1,Layer 2 (normal),53,end,index[53],38.83169276405897,3.9162496019270048,0.014880505665879356
back,2,Layer 3 (normal),0,start,index[0],37.35356651734946,4.118210126698482,0.012557677669677247
back,2,Layer 3 (normal),9,normal,index[9],37.35356651734946,3.9542423437744922,0.013581526283641938
back,2,Layer 3 (normal),20,normal,index[20],37.35356651734946,3.9542423437744922,0.013581526283641938
back,2,Layer 3 (normal),52,normal,index[52],37.35356651734946,3.9542423437744922,0.013581526283641938
back,2,Layer 3 (normal),53,end,index[53],37.35356651734946,3.9131739369103933,0.013886088236631549
front,2,Layer 3 (normal),0,start,index[0],37.35356651734946,4.118210126698482,0.012557677669677247
front,2,Layer 3 (normal),9,normal,index[9],37.35356651734946,3.9542423437744922,0.013581526283641938
front,2,Layer 3 (normal),20,normal,index[20],37.35356651734946,3.9542423437744922,0.013581526283641938
front,2,Layer 3 (normal),52,normal,index[52],37.35356651734946,3.9542423437744922,0.013581526283641938
front,2,Layer 3 (normal),53,end,index[53],37.35356651734946,3.9131739369103933,0.013886088236631549
back,3,Layer 4 (end),0,start,index[0],36.965412564164126,3.864159348412459,0.013689143873707033
back,3,Layer 4 (end),9,normal,index[9],36.965412564164126,3.8229891968028387,0.014033931441814794
back,3,Layer 4 (end),20,normal,index[20],36.965412564164126,3.8229891968028387,0.014033931441814794
back,3,Layer 4 (end),52,normal,index[52],36.965412564164126,3.8229891968028387,0.014033931441814794
back,3,Layer 4 (end),53,normal,index[53],36.965412564164126,3.8229891968028387,0.014033931441814794
front,3,Layer 4 (end),0,start,index[0],36.965412564164126,3.864159348412459,0.013689143873707033
front,3,Layer 4 (end),9,normal,index[9],36.965412564164126,3.8229891968028387,0.014033931441814794
front,3,Layer 4 (end),20,normal,index[20],36.965412564164126,3.8229891968028387,0.014033931441814794
front,3,Layer 4 (end),52,normal,index[52],36.965412564164126,3.8229891968028387,0.014033931441814794
front,3,Layer 4 (end),53,normal,index[53],36.965412564164126,3.8229891968028387,0.014033931441814794
overall,,,AVG,average,n=432,,,0.013637637634279907
